thermal storage capacity (kWh)	2080
minimum storage heating rate (kW)	-400.0
maximum storage heating rate (kW)	400.0
maximum compressor electrical power (kW)	155
initial thermal store state (kWh)	2027.86
final thermal store state (kWh)	1872.0

time	thermal load (kWr)	electrical load (kWe)	solar (kWe)	CoP	import price ($/kWh)	export price ($/kWh)	demand price ($/kW)
2017-10-25 03:00:00	104.83119105899999	135.84817600499997	0.0	4.626133000306106	0.1186815650322	0.062913654	0.0105
2017-10-25 03:30:00	160.85576707200002	84.71932984	0.0	4.694974746830583	0.120624035175	0.06457725	0.0105
2017-10-25 04:00:00	121.34230327799999	96.80319691	0.0	4.755347338203865	0.12139664530769999	0.065238939	0.0105
2017-10-25 04:30:00	146.49327279300002	72.101724635	0.0	4.806217782649108	0.11231256773189999	0.05745903299999999	0.0105
2017-10-25 05:00:00	148.633130835	75.315310475	0.3828333333333333	4.8467156727579015	0.12499014781619998	0.068316534	0.0105
2017-10-25 05:30:00	116.415020946	114.72516917	8.8815	4.876148078402347	0.1204880420883	0.06446078100000001	0.0105
2017-10-25 06:00:00	182.659729392	62.77497289	32.75008333333333	4.894011402961668	0.1518267194238	0.09130026599999999	0.0105
2017-10-25 06:30:00	193.018297584	56.39712143500001	60.06791666666665	4.9	0.1512944432601	0.090844407	0.0105
2017-10-25 07:00:00	227.68324584599998	75.18070985499998	87.68641666666666	4.894011402961668	0.1522321871046	0.09164752199999998	0.0105
2017-10-25 07:30:00	265.805715189	76.21294025500003	114.88566666666668	4.876148078402347	0.15247680862319998	0.09185702400000001	0.0105
2017-10-25 08:00:00	288.28642731	83.94231415000004	141.67358333333334	4.8467156727579015	0.15507717592950002	0.094084065	0.0105
2017-10-25 08:30:00	243.52356033599997	164.24121472000004	167.90675	4.806217782649108	0.15392102977289998	0.09309390299999999	0.0105
2017-10-25 09:00:00	344.7326110830001	133.44088743499998	192.02383333333327	4.755347338203865	0.1378623700419	0.079340733	0.0105
2017-10-25 09:30:00	329.89785231900004	118.408748655	193.8673333333334	4.694974746830583	0.1292911275348	0.07200003599999999	0.0105
2017-10-25 10:00:00	346.906118769	144.512016305	225.108	4.626133000306106	0.11002152401010001	0.055496907000000005	0.0105
2017-10-25 10:30:00	327.6341583269999	137.98956296500006	212.21499999999992	4.550000000000002	0.1160200055658	0.060634205999999996	0.0105
2017-10-25 11:00:00	456.84255771	153.27640910000005	218.582	4.467878402655564	0.11579846115239999	0.060444467999999994	0.0105
2017-10-25 11:30:00	402.286489122	143.02779773999995	231.03191666666663	4.381173331571763	0.11599564639919999	0.060613343999999986	0.0105
2017-10-25 12:00:00	273.12012291900004	151.809083955	241.2420833333333	4.291368334554036	0.11378301859680001	0.05871837600000001	0.0105
2017-10-25 12:30:00	252.190250025	232.778326025	230.4175833333334	4.2	0.11170513334580001	0.056938806	0.0105
2017-10-25 13:00:00	344.47134477	143.87436295	198.49216666666663	4.108631665445964	0.1128937618941	0.05795678700000001	0.02047941176470588
2017-10-25 13:30:00	398.929680681	143.171726245	201.80525	4.018826668428235	0.1114381072788	0.056710116	0.02047941176470588
2017-10-25 14:00:00	561.58710699	54.11590960000001	187.37475	3.932121597344437	0.1077188891922	0.053524854	0.02047941176470588
2017-10-25 14:30:00	586.3195449300001	67.67311859999998	190.06441666666672	3.85	0.1052321104242	0.051395093999999995	0.02047941176470588
2017-10-25 15:00:00	621.7266358800002	118.14585109999993	109.0505	3.773866999693896	0.11675359689539999	0.06126247799999999	0.02047941176470588
2017-10-25 15:30:00	601.83136587	136.31217959999998	84.90166666666667	3.705025253169417	0.1251754267059	0.068475213	0.02047941176470588
2017-10-25 16:00:00	524.1757300500002	202.54441455	96.47325	3.644652661796136	0.12119988040890001	0.06507042299999999	0.02047941176470588
2017-10-25 16:30:00	569.1597609600002	203.9742203	85.70191666666669	3.593782217350893	0.1282629353094	0.071119458	0.02047941176470588
2017-10-25 17:00:00	559.92967548	192.48208609999998	24.51283333333334	3.5532843272420997	0.1292911485522	0.07200005399999998	0.02047941176470588
2017-10-25 17:30:00	532.04904795	146.32087705000004	14.121583333333332	3.5238519215976525	0.1364831767278	0.07815954600000001	0.02047941176470588
2017-10-25 18:00:00	418.29682616400004	200.37605288000003	6.330333333333335	3.505988597038333	0.1378972273998	0.079370586	0.02047941176470588
2017-10-25 18:30:00	358.63351135500005	224.56866452500003	0.6777500000000001	3.5	0.13979984855219998	0.08100005399999999	0.02047941176470588
2017-10-25 19:00:00	344.611422729	214.369186405	0.0	3.505988597038333	0.15472290663510002	0.093780657	0.02047941176470588
2017-10-25 19:30:00	136.590056127	222.794704915	0.0	3.523851921597652	0.1558433442291	0.094740237	0.02047941176470588
2017-10-25 20:00:00	378.077320866	150.62469482	0.0	3.5532843272420997	0.14440850198939997	0.08494705799999998	0.02047941176470588
2017-10-25 20:30:00	202.45797156900002	185.888105405	0.0	3.593782217350893	0.1440513007677	0.08464113899999999	0.02047941176470588
2017-10-25 21:00:00	263.411900724	119.54673573	0.0	3.644652661796136	0.13483754583389998	0.07675017299999999	0.02047941176470588
2017-10-25 21:30:00	142.18406366850002	188.4452736575	0.0	3.705025253169417	0.13979984855219998	0.08100005399999999	0.0105
2017-10-25 22:00:00	341.78889885	86.6238041	0.0	3.773866999693896	0.1514035340748	0.090937836	0.0105
2017-10-25 22:30:00	283.580092614	128.64889908	0.0	3.85	0.1354795853691	0.077300037	0.0105
2017-10-25 23:00:00	230.018212515	134.45799442499998	0.0	3.9321215973444374	0.1306247130909	0.073142163	0.0105
